Timestamp,S_EXPOSE,APERTURE,EXPOSURE
1923.765637366819,9.497,0.2,20.0
1923.7705384322678,10.913,0.076,61.0
1923.7924219939118,10.638,0.2,22.0
1923.7926598173517,11.604,0.2,20.0
1923.7927739726028,10.027,0.2,20.0
1923.7930003805175,9.95,0.2,20.0
1923.8199219939117,23.848,0.2,20.0
1923.820036149163,30.147,0.2,20.0
1923.8202644596652,33.178,0.2,20.0
1924.2092725409836,10.0,0.2,14.0
1924.2502580449302,15.906,0.2,12.0
1924.2800812082573,12.871,0.066,60.0
1924.3236832119005,12.019,0.066,62.0
1924.4166438979964,16.379,0.066,78.0
1924.6484289617486,9.684,0.2,10.0
1925.6115296803653,11.545,0.4,36.0
1925.6142694063926,18.519,0.4,56.0
1925.6583789954338,12.629,0.038,70.0
1925.7376084474886,8.605,0.2,7.0
1925.7485635464232,11.052,0.2,6.0
1926.7868721461186,14.827,0.4,30.0
1926.8169273211568,10.021,0.2,20.0
1926.8443226788431,11.328,0.2,23.25
1927.4723401826484,9.617,0.2,10.0
1927.507420091324,45.83,0.4,65.0
1927.5900684931507,25.454,0.066,61.0
1927.59549847793,13.266,0.066,78.0
1927.7102872907153,22.714,0.066,64.0
1927.7623401826484,14.695,0.066,60.0
1927.8279242770168,24.525,0.066,60.0
1927.8717313546424,29.51,0.4,62.0
1928.3020624620522,23.791,0.075,61.0
1928.54227003643,37.653,0.4,62.0
1928.5669133272618,14.761,0.075,53.0
1928.6157957650273,31.453,0.4,72.0
1928.7248614905889,35.726,0.4,73.0
1928.7274704007286,20.323,0.4,30.0
1928.776635549484,10.521,0.038,61.0
1928.8338778840316,12.18,0.038,71.0
1929.3383656773212,13.931,0.075,65.0
1929.420479452055,14.797,0.075,72.0
1929.5025837138508,9.35,0.038,61.0
1929.5027834855402,23.297,0.4,62.0
1929.5238584474887,8.87,0.1,30.0
1929.527203196347,19.77,0.038,64.0
1929.5375570776255,9.259,0.1,60.0
1929.5381697108066,8.532,0.038,60.0
1929.5786529680365,9.283,0.1,60.0
1929.5813926940639,10.224,0.1,30.0
1929.5923515981735,8.827,0.1,35.0
1929.7567351598173,11.971,0.1,45.0
1930.776147260274,10.706,0.075,60.0
1930.8607895738203,8.468,0.038,60.0
1931.3275057077626,9.934,0.075,63.0
1931.4806582952815,13.403,0.038,87.0
1931.5410064687976,12.965,0.075,70.0
1931.6227130898021,11.102,0.075,65.0
1931.6911339421613,10.448,0.038,63.0
1931.7844882039574,12.092,0.075,71.0
1931.8582343987823,16.183,0.075,60.0
1931.86898782344,22.771,0.2,72.0
1931.9209912480974,12.744,0.2,31.0
1931.9347850076103,11.343,0.038,62.0
1932.2529428506375,19.826,0.075,55.0
1932.4221482240437,19.977,0.075,60.0
1932.4330506223437,18.374,0.075,92.0
1932.5367258652095,11.872,0.075,57.0
1932.771233682453,15.003,0.075,53.0
1933.2426407914763,21.427,0.2,61.0
1933.245428082192,18.203,0.2,60.0
1933.3083637747336,44.922,0.2,60.0
1933.3137899543378,11.987,0.075,45.0
1933.3192598934552,18.313,0.038,60.0
1933.3767846270928,50.0,0.2,65.0
1933.4178082191781,21.476,0.075,66.0
1933.4559512937594,15.847,0.075,80.0
1933.6422050989345,38.245,0.075,66.0
1933.803255327245,12.439,0.038,60.0
1933.8033961187214,10.211,0.075,48.0
1933.8197450532725,9.999,0.075,60.0
1933.8881430745814,11.4,0.038,60.0
1933.934798325723,8.962,0.075,10.0
1933.948460806697,10.956,0.075,46.0
1934.047089041096,16.118,0.2,11.0
1934.0497964231354,42.602,0.2,30.0
1934.108548325723,15.33,0.075,36.0
1934.2016799847793,50.0,0.075,49.0
1934.2180631659057,50.0,0.075,63.0
1934.272804414003,45.345,0.075,60.0
